playerID,award,year,lgID,note,pos
brodema01,Jennings,1997,NHL,,
brodema01,Jennings,2002,NHL,shared,
brodema01,Jennings,2003,NHL,,
brodema01,Jennings,2009,NHL,,
brodema01,Second Team All-Star,1996,NHL,,G
brodema01,Second Team All-Star,1997,NHL,,G
brodema01,Second Team All-Star,2005,NHL,,G
brodema01,Second Team All-Star,2007,NHL,,G
brodema01,Vezina,2002,NHL,,
brodema01,Vezina,2003,NHL,,
brodema01,Vezina,2006,NHL,,
brodema01,Vezina,2007,NHL,,
broderi01,Second Team All-Star,1978,WHA,,G
bryzgil01,Second Team All-Star,2009,NHL,,G
bucykjo01,First Team All-Star,1970,NHL,,LW
bucykjo01,Lady Byng,1970,NHL,,
bucykjo01,Lady Byng,1973,NHL,,
bucykjo01,Second Team All-Star,1967,NHL,,LW
bullehy01,Second Team All-Star,1951,NHL,,D
burchbi01,Hart,1924,NHL,,
burchbi01,Lady Byng,1926,NHL,,
burepa01,Calder,1991,NHL,,
burepa01,First Team All-Star,1993,NHL,,RW
burepa01,Richard,1999,NHL,,
burepa01,Richard,2000,NHL,,
burepa01,Second Team All-Star,1999,NHL,,RW
burepa01,Second Team All-Star,2000,NHL,,RW
caffete01,Kaplan,1972,WHA,Rookie,
cainhe01,Art Ross,1943,NHL,,
cainhe01,Second Team All-Star,1943,NHL,,LW
campbbr02,Lady Byng,2011,NHL,,
campbbr02,Second Team All-Star,2007,NHL,,D
campbji01,All-Rookie,1996,NHL,,F
carbogu01,Selke,1987,NHL,,
carbogu01,Selke,1988,NHL,,
carbogu01,Selke,1991,NHL,,
careyji01,All-Rookie,1994,NHL,,G
careyji01,First Team All-Star,1995,NHL,,G
careyji01,Vezina,1995,NHL,,
carlema01,All-Rookie,2006,NHL,,D
carlewa01,Second Team All-Star,1973,WHA,,C
carlsjo01,All-Rookie,2010,NHL,,D
carlyra01,First Team All-Star,1980,NHL,,D
carlyra01,Norris,1980,NHL,,
caronse01,All-Rookie,2002,NHL,,G
carrlo01,First Team All-Star,1942,NHL,,RW
carrlo01,First Team All-Star,1943,NHL,,RW
carsoji01,All-Rookie,1986,NHL,,C
cashmwa01,Second Team All-Star,1973,NHL,,LW
cavalpa01,Plus-Minus,1989,NHL,,
cechmro01,Jennings,2002,NHL,shared,
cechmro01,Second Team All-Star,2000,NHL,,G
chabolo01,First Team All-Star,1934,NHL,,G
chabolo01,Vezina,1934,NHL,,
chapmar01,Second Team All-Star,1936,NHL,,C
charazd01,First Team All-Star,2003,NHL,,D
charazd01,First Team All-Star,2008,NHL,,D
charazd01,Messier,2010,NHL,,
charazd01,Norris,2008,NHL,,
charazd01,Plus-Minus,2010,NHL,,
charazd01,Second Team All-Star,2005,NHL,,D
charazd01,Second Team All-Star,2007,NHL,,D
charazd01,Second Team All-Star,2010,NHL,,D
charazd01,Second Team All-Star,2011,NHL,,D
chaseke01,King Clancy,1997,NHL,,
cheecjo01,Richard,2005,NHL,,
cheevge01,First Team All-Star,1972,WHA,,G
cheevge01,Hatskin,1972,WHA,Best Goaltender,
cheevge01,Second Team All-Star,1973,WHA,,G
cheevge01,Second Team All-Star,1974,WHA,,G
chelich01,All-Rookie,1984,NHL,,D
chelich01,First Team All-Star,1988,NHL,,D
chelich01,First Team All-Star,1992,NHL,,D
chelich01,First Team All-Star,1994,NHL,,D
chelich01,First Team All-Star,1995,NHL,,D
chelich01,First Team All-Star,2001,NHL,,D
chelich01,Messier,2006,NHL,,
chelich01,Norris,1988,NHL,,
chelich01,Norris,1992,NHL,,
chelich01,Norris,1995,NHL,,
chelich01,Plus-Minus,2001,NHL,,
chelich01,Second Team All-Star,1990,NHL,,D
chelich01,Second Team All-Star,1996,NHL,,D
chevrre01,Second Team All-Star,1956,NHL,,LW
clancki01,First Team All-Star,1930,NHL,,D
clancki01,First Team All-Star,1933,NHL,,D
clancki01,Second Team All-Star,1931,NHL,,D
clancki01,Second Team All-Star,1932,NHL,,D
clappdi01,First Team All-Star,1938,NHL,,D
clappdi01,First Team All-Star,1939,NHL,,D
clappdi01,First Team All-Star,1940,NHL,,D
clappdi01,Second Team All-Star,1930,NHL,,RW
clappdi01,Second Team All-Star,1934,NHL,,RW
clappdi01,Second Team All-Star,1943,NHL,,D
clarkbo01,First Team All-Star,1974,NHL,,C
clarkbo01,First Team All-Star,1975,NHL,,C
clarkbo01,Hart,1972,NHL,,
clarkbo01,Hart,1974,NHL,,
clarkbo01,Hart,1975,NHL,,
clarkbo01,Masterton,1971,NHL,,
clarkbo01,Pearson,1973,NHL,,
clarkbo01,Second Team All-Star,1972,NHL,,C
clarkbo01,Second Team All-Star,1973,NHL,,C
clarkbo01,Selke,1982,NHL,,
clarkwe01,All-Rookie,1985,NHL,,LW
cleghod01,Art Ross,1918,NHL,,
cloutre01,First Team All-Star,1978,WHA,,RW
cloutre01,Hunter,1976,WHA,Scoring,
cloutre01,Hunter,1978,WHA,Scoring,
cloutre01,Second Team All-Star,1975,WHA,,RW
cloutre01,Second Team All-Star,1976,WHA,,RW
cloutre01,Second Team All-Star,1977,WHA,,RW
coffepa01,First Team All-Star,1984,NHL,,D
coffepa01,First Team All-Star,1985,NHL,,D
coffepa01,First Team All-Star,1988,NHL,,D
coffepa01,First Team All-Star,1994,NHL,,D
coffepa01,Norris,1984,NHL,,
coffepa01,Norris,1985,NHL,,
coffepa01,Norris,1994,NHL,,
coffepa01,Second Team All-Star,1981,NHL,,D
coffepa01,Second Team All-Star,1982,NHL,,D
coffepa01,Second Team All-Star,1983,NHL,,D
coffepa01,Second Team All-Star,1989,NHL,,D
colvine01,Second Team All-Star,1938,NHL,,C
colvine01,Second Team All-Star,1939,NHL,,C
colvine01,Second Team All-Star,1947,NHL,,D
conacch01,Art Ross,1933,NHL,,
conacch01,Art Ross,1934,NHL,,
conacch01,First Team All-Star,1933,NHL,,RW
conacch01,First Team All-Star,1934,NHL,,RW
conacch01,First Team All-Star,1935,NHL,,RW
conacch01,Second Team All-Star,1931,NHL,,RW
conacch01,Second Team All-Star,1932,NHL,,RW
conacli01,First Team All-Star,1933,NHL,,D
conacli01,Second Team All-Star,1932,NHL,,D
conacli01,Second Team All-Star,1936,NHL,,D
conacro01,Art Ross,1948,NHL,,
conacro01,First Team All-Star,1948,NHL,,LW
cookbi01,Art Ross,1926,NHL,,
cookbi01,Art Ross,1932,NHL,,
cookbi01,First Team All-Star,1930,NHL,,RW
cookbi01,First Team All-Star,1931,NHL,,RW
cookbi01,First Team All-Star,1932,NHL,,RW
cookbi01,Second Team All-Star,1933,NHL,,RW
cookbu01,Second Team All-Star,1930,NHL,,LW
coultar01,Second Team All-Star,1934,NHL,,D
coultar01,Second Team All-Star,1937,NHL,,D
coultar01,Second Team All-Star,1938,NHL,,D
coultar01,Second Team All-Star,1939,NHL,,D
cournyv01,Conn Smythe,1972,NHL,,
cournyv01,Second Team All-Star,1968,NHL,,RW
cournyv01,Second Team All-Star,1970,NHL,,RW
cournyv01,Second Team All-Star,1971,NHL,,RW
cournyv01,Second Team All-Star,1972,NHL,,RW
coutulo01,All-Rookie,2010,NHL,,F
cowlebi01,Art Ross,1940,NHL,,
cowlebi01,First Team All-Star,1937,NHL,,C
cowlebi01,First Team All-Star,1940,NHL,,C
cowlebi01,First Team All-Star,1942,NHL,,C
cowlebi01,First Team All-Star,1943,NHL,,C
cowlebi01,Hart,1940,NHL,,
cowlebi01,Hart,1942,NHL,,
cowlebi01,Second Team All-Star,1944,NHL,,C
crawfco01,All-Rookie,2010,NHL,,G
crawfja01,First Team All-Star,1945,NHL,,D
crawfja01,Second Team All-Star,1942,NHL,,D
crosbsi01,All-Rookie,2005,NHL,,F
crosbsi01,Art Ross,2006,NHL,,
crosbsi01,First Team All-Star,2006,NHL,,C
crosbsi01,Hart,2006,NHL,,
crosbsi01,Messier,2009,NHL,,
