playerID,firstName,lastName,height,weight,pos,birthYear,birthCountry
armstbi01,Bill,Armstrong,74.0,195.0,C,1966.0,Canada
armstbo01,Bob,Armstrong,73.0,190.0,D,1931.0,Canada
armstch01,Chris,Armstrong,72.0,205.0,D,1975.0,Canada
armstco01,Colby,Armstrong,74.0,188.0,R,1982.0,Canada
armstde01,Derek,Armstrong,72.0,190.0,C,1973.0,Canada
armstge01,George,Armstrong,73.0,184.0,R,1930.0,Canada
armstmu01,Murray,Armstrong,70.0,170.0,C,1916.0,Canada
armstno01,Norm,Armstrong,71.0,205.0,D/L,1938.0,Canada
armstri01,Riley,Armstrong,71.0,185.0,R,1984.0,Canada
armstti01,Tim,Armstrong,71.0,170.0,C,1967.0,Canada
arnasch01,Chuck,Arnason,70.0,183.0,R,1951.0,Canada
arnasty01,Tyler,Arnason,71.0,204.0,C,1979.0,USA
arndtda01,Danny,Arndt,71.0,175.0,L,1955.0,Canada
arnieja01,Jamie,Arniel,71.0,183.0,C,1989.0,Canada
arniesc01,Scott,Arniel,73.0,188.0,L,1962.0,Canada
arnotja01,Jason,Arnott,76.0,220.0,C,1974.0,Canada
arsende01,Dean,Arsene,74.0,195.0,D,1980.0,Canada
arthufr01,Fred,Arthur,77.0,210.0,D,1961.0,Canada
artyuev01,Evgeny,Artyukhin,77.0,254.0,R,1983.0,Russia
arundjo01,John,Arundel,71.0,181.0,D,1927.0,Canada
arvedma01,Magnus,Arvedson,74.0,198.0,L,1971.0,Sweden
aseltja01,Jack,Aseltine,68.0,167.0,R,1896.0,Canada
ashamar01,Arron,Asham,71.0,210.0,R,1978.0,Canada
ashbeba01,Barry,Ashbee,70.0,180.0,D,1939.0,Canada
ashbo01,Bob,Ash,69.0,170.0,D,1943.0,Canada
ashbydo01,Don,Ashby,73.0,185.0,C,1955.0,Canada
ashtobr01,Brent,Ashton,73.0,210.0,L,1960.0,Canada
ashtoca01,Carter,Ashton,75.0,215.0,R,1991.0,
ashtoro01,Ron,Ashton,73.0,205.0,L,1954.0,Canada
ashwofr01,Frank,Ashworth,68.0,155.0,C,1927.0,Canada
asmunfr01,Freeman,Asmundson,74.0,195.0,D/R,1943.0,Canada
asmunos01,Oscar,Asmundson,71.0,170.0,C,1908.0,Canada
astaska01,Kaspars,Astashenko,74.0,183.0,D,1975.0,Latvia
astlema01,Mark,Astley,71.0,185.0,D,1969.0,Canada
atanawa01,Walt,Atanas,68.0,174.0,R,1922.0,Canada
atchebl01,Blair,Atcheynum,74.0,198.0,R,1969.0,Canada
atkinar01,Archie,Atkinson,68.0,175.0,D,1884.0,Canada
atkinca01,Cam,Atkinson,67.0,173.0,R,1989.0,
atkinst01,Steve,Atkinson,71.0,170.0,R,1948.0,Canada
attwebo01,Bob,Attwell,72.0,192.0,R,1959.0,USA
attwero01,Ron,Attwell,72.0,185.0,R,1935.0,Canada
aubinno01,Norm,Aubin,72.0,185.0,C,1960.0,Canada
aubinse01,Serge,Aubin,73.0,200.0,C,1975.0,Canada
aubrypi01,Pierre,Aubry,70.0,170.0,C,1960.0,Canada
aubucos01,Ossie,Aubuchon,70.0,175.0,L,1917.0,Canada
aucoiad01,Adrian,Aucoin,74.0,215.0,D,1973.0,Canada
aucoike01,Keith,Aucoin,69.0,187.0,C,1978.0,USA
audetdo01,Donald,Audette,68.0,190.0,R,1969.0,Canada
audetph01,Philippe,Audet,74.0,202.0,L,1977.0,Canada
augele01,Les,Auge,73.0,190.0,D,1953.0,USA
auguspa01,Patrik,Augusta,70.0,170.0,R,1969.0,Czech Republic
aulieke01,Keith,Aulie,78.0,208.0,D,1989.0,Canada
aulinja01,Jared,Aulin,72.0,192.0,C,1982.0,Canada
auriela01,Larry,Aurie,66.0,148.0,R,1905.0,Canada
averyse01,Sean,Avery,70.0,195.0,C,1980.0,Canada
awreydo01,Don,Awrey,72.0,175.0,D,1943.0,Canada
axelspj01,P.J.,Axelsson,73.0,175.0,L,1975.0,Sweden
ayresve01,Vern,Ayres,74.0,220.0,D,1909.0,Canada
babanpe01,Pete,Babando,69.0,187.0,L,1925.0,Canada
babchan01,Anton,Babchuk,77.0,212.0,D,1984.0,Ukraine
babcobo01,Bobby,Babcock,73.0,222.0,D,1968.0,Canada
babenyu01,Yuri,Babenko,73.0,200.0,C,1978.0,Russia
babewa01,Warren,Babe,74.0,190.0,L,1968.0,Canada
babinmi01,Mitch,Babin,74.0,195.0,C,1954.0,Canada
babycda01,Dave,Babych,74.0,215.0,D,1961.0,Canada
babycwa01,Wayne,Babych,71.0,191.0,R,1958.0,Canada
babyjo01,John,Baby,72.0,195.0,D,1957.0,Canada
bacaje01,Jergus,Baca,74.0,211.0,D,1965.0,Slovakia
backeda01,David,Backes,75.0,225.0,R,1984.0,USA
backlmi01,Mikael,Backlund,72.0,194.0,C,1989.0,Sweden
backmch01,Christian,Backman,76.0,206.0,D,1980.0,Sweden
backmmi01,Mike,Backman,70.0,175.0,R,1955.0,Canada
backope01,Pete,Backor,72.0,190.0,D,1919.0,Canada
backsni02,Nicklas,Backstrom,72.0,183.0,C,1987.0,Sweden
backsra01,Ralph,Backstrom,70.0,165.0,C,1937.0,Canada
baertsv01,Sven,Baertschi,70.0,181.0,L,1992.0,
bagnadr01,Drew,Bagnall,75.0,220.0,D,1983.0,Canada
baileac01,Ace,Bailey,70.0,160.0,R,1903.0,Canada
bailebo01,Bob,Bailey,71.0,180.0,R,1931.0,Canada
bailega01,Garnet,Bailey,71.0,192.0,L,1948.0,Canada
bailejo01,Josh,Bailey,73.0,188.0,C,1989.0,Canada
bailere01,Reid,Bailey,74.0,200.0,D,1956.0,Canada
bailljo01,Joel,Baillargeon,73.0,205.0,L,1964.0,Canada
bairdke01,Ken,Baird,72.0,190.0,D,1951.0,Canada
bakerbi01,Bill,Baker,73.0,195.0,D,1956.0,USA
bakerbr01,Brownie,Baker,68.0,154.0,R/D,1889.0,Canada
bakerfr01,Frank,Baker,,,,,
bakerha01,Hamilton,Baker,69.0,164.0,R,1893.0,Canada
bakerja01,Jamie,Baker,72.0,195.0,C,1966.0,Canada
bakovpe01,Peter,Bakovic,74.0,200.0,L,1965.0,Canada
balach01,Chris,Bala,73.0,196.0,L,1978.0,USA
balasja01,Jaroslav,Balastik,74.0,205.0,L,1979.0,Czech Republic
baldehe01,Helmut,Balderis,71.0,190.0,R,1952.0,Latvia
baldwdo01,Doug,Baldwin,72.0,175.0,D,1922.0,Canada
balejjo01,Jozef,Balej,73.0,195.0,R,1982.0,Slovakia
balfoea01,Earl,Balfour,73.0,180.0,L,1933.0,Canada
balfomu01,Murray,Balfour,69.0,178.0,R,1936.0,Canada
ballake01,Keith,Ballard,71.0,208.0,D,1982.0,USA
ballbl01,Blake,Ball,75.0,210.0,D,1938.0,Canada
ballte01,Terry,Ball,69.0,160.0,D,1944.0,Canada
balmoma01,Maxim,Balmochnykh,73.0,210.0,L,1979.0,Russia
balonda01,Dave,Balon,70.0,180.0,L,1938.0,Canada
baltibr01,Bryon,Baltimore,74.0,190.0,D,1952.0,Canada
baluist01,Stan,Baluik,68.0,160.0,C,1935.0,Canada
bancrst01,Steve,Bancroft,73.0,214.0,D,1970.0,Canada
banduje01,Jeff,Bandura,73.0,195.0,D,1957.0,Canada
banhafr01,Frank,Banham,72.0,190.0,R,1975.0,Canada
banksda01,Darren,Banks,74.0,215.0,L,1966.0,Canada
bannidr01,Drew,Bannister,74.0,200.0,D,1974.0,Canada
barahra01,Ralph,Barahona,70.0,180.0,C,1965.0,USA
baraniv01,Ivan,Baranka,75.0,205.0,D,1985.0,Slovakia
barbean01,Andy,Barbe,72.0,170.0,R,1923.0,Canada
barbebi01,Bill,Barber,72.0,195.0,L,1952.0,Canada
barbebo01,Bob,Barber,70.0,172.0,D,1943.0,Canada
barbedo01,Don,Barber,74.0,205.0,L,1964.0,Canada
barboal01,Alf,Barbour,72.0,170.0,C,1891.0,Canada
barchkr01,Krys,Barch,74.0,200.0,R,1980.0,Canada
barilbi01,Bill,Barilko,71.0,180.0,D,1927.0,Canada
barinmi01,Michal,Barinka,75.0,217.0,D,1984.0,Czech Republic
barkeca01,Cam,Barker,75.0,222.0,D,1986.0,Canada
barkldo01,Doug,Barkley,74.0,185.0,D,1937.0,Canada
barlobo01,Bob,Barlow,70.0,165.0,L,1935.0,Canada
barnama01,Matthew,Barnaby,72.0,189.0,R,1973.0,Canada
barnebl01,Blair,Barnes,71.0,190.0,R,1960.0,Canada
barneno01,Norm,Barnes,72.0,190.0,D,1953.0,Canada
barnery01,Ryan,Barnes,73.0,201.0,L,1980.0,Canada
barnesc01,Scott,Barney,76.0,210.0,C,1979.0,Canada
barnest01,Stu,Barnes,71.0,180.0,C,1970.0,Canada
baronmu01,Murray,Baron,75.0,215.0,D,1967.0,Canada
baronno01,Normand,Baron,72.0,205.0,L,1957.0,Canada
barrado01,Doug,Barrault,74.0,205.0,R,1970.0,Canada
barrda01,Dave,Barr,73.0,195.0,R,1960.0,Canada
barrefr01,Fred,Barrett,71.0,195.0,D,1950.0,Canada
barrejo01,John,Barrett,73.0,210.0,D,1958.0,Canada
barrido01,Doug,Barrie,69.0,175.0,D,1946.0,Canada
barrile01,Len,Barrie,72.0,200.0,C,1969.0,Canada
barrity01,Tyson,Barrie,70.0,190.0,D,1991.0,
barryed01,Ed,Barry,70.0,180.0,D,1919.0,USA
barryma01,Marty,Barry,71.0,175.0,C,1905.0,Canada
barryra01,Ray,Barry,71.0,170.0,C,1928.0,USA
bartelu01,Lubos,Bartecko,71.0,200.0,L,1976.0,Slovakia
bartero01,Robin,Bartel,72.0,200.0,D,1961.0,Canada
bartkma01,Matt,Bartkowski,73.0,196.0,D,1988.0,USA
bartlji01,Jim,Bartlett,69.0,165.0,L,1932.0,Canada
bartocl01,Cliff,Barton,67.0,155.0,R,1907.0,USA
bartomi01,Milan,Bartovic,71.0,200.0,R,1981.0,Slovakia
bartope01,Peter,Bartos,72.0,185.0,L,1973.0,Czech Republic
bartuos01,Oskars,Bartulis,74.0,184.0,D,1987.0,Latvia
bashkan01,Andrei,Bashkirov,72.0,215.0,L,1970.0,Russia
bassco01,Cody,Bass,72.0,206.0,C,1987.0,Canada
bassebo01,Bob,Bassen,70.0,185.0,C,1965.0,Canada
bastry01,Ryan,Bast,74.0,190.0,D,1975.0,Canada
batemja01,Jamie,Bateman,73.0,185.0,L,1954.0,Canada
batessh01,Shawn,Bates,72.0,210.0,C,1975.0,USA
bathefr01,Frank,Bathe,73.0,185.0,D,1954.0,Canada
bathgan01,Andy,Bathgate,72.0,180.0,R,1932.0,Canada
bathgfr01,Frank,Bathgate,70.0,162.0,C,1930.0,Canada
battaba01,Bates,Battaglia,74.0,205.0,L,1975.0,USA
batteca01,Carl,Battell,71.0,170.0,C/D,1893.0,Canada
batteje01,Jeff,Batters,74.0,215.0,D,1970.0,Canada
batyrru01,Ruslan,Batyrshin,73.0,185.0,D,1975.0,Russia
bauerbo01,Bobby,Bauer,66.0,150.0,R,1915.0,Canada
baumgke01,Ken,Baumgartner,73.0,205.0,L,1966.0,Canada
baumgmi01,Mike,Baumgartner,74.0,195.0,D,1949.0,USA
baumgno01,Nolan,Baumgartner,74.0,205.0,D,1976.0,Canada
baunbo01,Bob,Baun,69.0,175.0,D,1936.0,Canada
bautise01,Sergei,Bautin,75.0,200.0,D,1967.0,Belarus
bawaro01,Robin,Bawa,74.0,214.0,R,1966.0,Canada
bawlfni01,Nick,Bawlf,,,R/C,1888.0,Canada
baxtepa01,Paul,Baxter,71.0,200.0,D,1955.0,Canada
baydary01,Ryan,Bayda,71.0,185.0,L,1980.0,Canada
beadlsa01,Sandy,Beadle,74.0,185.0,L,1960.0,Canada
beaglja01,Jay,Beagle,75.0,208.0,C,1985.0,Canada
beatofr01,Frank,Beaton,70.0,200.0,L,1953.0,Canada
beattre01,Red,Beattie,69.0,170.0,L,1907.0,England
beaucfr01,Francois,Beauchemin,72.0,210.0,D,1980.0,Canada
beauder01,Eric,Beaudoin,77.0,210.0,L,1980.0,Canada
beaudno01,Norm,Beaudin,69.0,170.0,R,1941.0,Canada
beaudro01,Roxy,Beaudro,,,,,
beaudse01,Serge,Beaudoin,74.0,215.0,D,1952.0,Canada
beaudyv01,Yves,Beaudoin,71.0,180.0,D,1965.0,Canada
beaufma01,Mark,Beaufait,69.0,170.0,C,1970.0,USA
beaulal01,Alain,Beaule,72.0,200.0,D,1946.0,Canada
beckba01,Barry,Beck,75.0,216.0,D,1957.0,Canada
beckebo01,Bob,Beckett,72.0,185.0,C,1936.0,Canada
bedarja01,James,Bedard,72.0,180.0,D,1927.0,Canada
beddocl01,Clayton,Beddoes,71.0,190.0,C,1970.0,Canada
bednaja01,Jaroslav,Bednar,72.0,198.0,R,1976.0,Czech Republic
bednajo01,John,Bednarski,70.0,195.0,D,1952.0,Canada
beechkr01,Kris,Beech,75.0,211.0,C,1981.0,Canada
beersbo01,Bob,Beers,74.0,200.0,D,1967.0,USA
beersed01,Eddy,Beers,74.0,195.0,L,1959.0,Canada
beginst01,Steve,Begin,72.0,193.0,C,1978.0,Canada
behlidi01,Dick,Behling,73.0,195.0,D,1915.0,Canada
beislfr01,Frank,Beisler,74.0,190.0,D,1913.0,USA
bekarde01,Derek,Bekar,75.0,197.0,L,1975.0,Canada
belakwa01,Wade,Belak,77.0,221.0,D,1976.0,Canada
belanal01,Alain,Belanger,73.0,190.0,R,1956.0,Canada
belaner01,Eric,Belanger,72.0,188.0,C,1977.0,Canada
belanfr01,Francis,Belanger,75.0,228.0,L,1978.0,Canada
belanje01,Jesse,Belanger,73.0,190.0,C,1969.0,Canada
belanke01,Ken,Belanger,76.0,225.0,L,1974.0,Canada
belanro01,Roger,Belanger,72.0,190.0,R,1965.0,Canada
belesma01,Matt,Beleskey,72.0,206.0,L,1988.0,Canada
belisda01,Danny,Belisle,70.0,164.0,R,1937.0,Canada
belivje01,Jean,Beliveau,75.0,205.0,C,1931.0,Canada
belivma01,Marcel,Beliveau,,,,,
bellane01,Neil,Belland,71.0,180.0,D,1961.0,Canada
bellawa01,Walt,Bellamy,,,,,
bellbi01,Billy,Bell,70.0,180.0,C,1891.0,Canada
bellbr01,Bruce,Bell,73.0,190.0,D,1965.0,Canada
bellbr02,Brendan,Bell,73.0,205.0,D,1983.0,Canada
bellean01,Andy,Bellemer,71.0,185.0,D,1903.0,Canada
bellebl01,Blake,Bellefeuille,70.0,208.0,C,1977.0,USA
bellepe01,Pete,Bellefeuille,70.0,180.0,R,1901.0,Canada
bellesh01,Shawn,Belle,73.0,232.0,D,1985.0,Canada
bellha01,Harry,Bell,69.0,176.0,D,1925.0,Canada
belljo01,Joe,Bell,69.0,165.0,L,1923.0,Canada
bellma01,Mark,Bell,76.0,220.0,L,1980.0,Canada
bellobr01,Brian,Bellows,71.0,210.0,L,1964.0,Canada
bendaja01,Jan,Benda,75.0,215.0,C,1972.0,Belgium
bendli01,Lin,Bend,70.0,165.0,C,1922.0,Canada
benne01,,Bennett,,,D,,
bennead01,Adam,Bennett,76.0,206.0,D,1971.0,Canada
bennebi01,Bill,Bennett,77.0,235.0,L,1953.0,USA
bennecu01,Curt,Bennett,75.0,195.0,L,1948.0,Canada
bennefr01,Frank,Bennett,71.0,182.0,L,1922.0,Canada
benneha02,Harvey,Bennett,76.0,215.0,C,1952.0,USA
bennejo01,John,Bennett,73.0,175.0,L,1950.0,USA
bennema01,Max,Bennett,66.0,157.0,R,1912.0,Canada
benneri01,Rick,Bennett,76.0,215.0,L,1967.0,USA
bennewe01,Wendell,Bennett,74.0,180.0,D,1950.0,Canada
bennibr01,Brian,Benning,72.0,195.0,D,1966.0,Canada
benniji01,Jim,Benning,72.0,180.0,D,1963.0,Canada
bennja01,Jamie,Benn,74.0,185.0,L,1989.0,Canada
bennjo01,Jordie,Benn,73.0,200.0,D,1987.0,
benoian01,Andre,Benoit,71.0,185.0,D,1984.0,Canada
benoijo01,Joe,Benoit,70.0,160.0,R,1916.0,Canada
bensobi01,Bill,Benson,71.0,165.0,C,1920.0,Canada
bensobo01,Bobby,Benson,66.0,135.0,D,1894.0,Canada
bensoco01,Connie,Benson,66.0,165.0,D,1889.0,Canada
bentise01,Sean,Bentivoglio,70.0,190.0,L,1985.0,Canada
bentldo01,Doug,Bentley,68.0,145.0,L,1916.0,Canada
bentlma01,Max,Bentley,70.0,155.0,C,1920.0,Canada
bentlre01,Reg,Bentley,68.0,155.0,L,1914.0,Canada
benysla01,Ladislav,Benysek,74.0,190.0,D,1975.0,Czech Republic
benzeji01,Jim,Benzelock,70.0,185.0,R,1947.0,Canada
beralpa01,Paul,Beraldo,71.0,175.0,C,1967.0,Canada
beranjo01,Josef,Beranek,74.0,195.0,L,1969.0,Czech Republic
berarbr01,Bryan,Berard,74.0,220.0,D,1977.0,USA
berehdr01,Drake,Berehowsky,74.0,225.0,D,1972.0,Canada
berenbu01,Bubba,Berenzweig,73.0,217.0,D,1977.0,USA
berenre01,Red,Berenson,72.0,185.0,C,1939.0,Canada
berezpe01,Perry,Berezan,74.0,190.0,C,1964.0,Canada
berezse01,Sergei,Berezin,70.0,200.0,L,1971.0,Russia
bergak01,Aki,Berg,75.0,213.0,D,1977.0,Finland
bergbi01,Bill,Berg,73.0,205.0,L,1967.0,Canada
bergdfr01,Fred,Bergdinon,73.0,170.0,R,1906.0,Canada
bergema01,Marc,Bergevin,73.0,209.0,D,1965.0,Canada
bergema02,Marc-Andre,Bergeron,70.0,197.0,D,1980.0,Canada
bergemi01,Michel,Bergeron,70.0,170.0,R,1954.0,Canada
bergemi02,Mike,Berger,72.0,195.0,D,1967.0,Canada
bergepa01,Patrice,Bergeron,72.0,186.0,C,1985.0,Canada
bergese01,Sean,Bergenheim,70.0,194.0,L,1984.0,Finland
bergeto01,Todd,Bergen,75.0,185.0,C,1963.0,Canada
bergeyv01,Yves,Bergeron,69.0,165.0,R,1952.0,Canada
bergfni01,Nicklas,Bergfors,71.0,190.0,R,1987.0,Sweden
bergkst01,Stefan,Bergkvist,74.0,224.0,D,1975.0,Sweden
berglbo01,Bob,Bergloff,73.0,185.0,D,1958.0,USA
berglbo02,Bo,Berglund,70.0,175.0,F,1955.0,Sweden
berglch01,Christian,Berglund,71.0,195.0,C,1980.0,Sweden
berglpa01,Patrik,Berglund,76.0,218.0,C,1988.0,Sweden
berglti01,Tim,Bergland,75.0,194.0,R,1965.0,USA
bergmga01,Gary,Bergman,71.0,188.0,D,1938.0,Canada
bergmth01,Thommie,Bergman,74.0,200.0,D,1947.0,Sweden
bergqjo01,Jonas,Bergqvist,72.0,185.0,R,1962.0,Sweden
berlilo01,Louis,Berlinquette,71.0,175.0,L,1887.0,Canada
berniar01,Art,Bernier,,,,,
bernije01,Jean,Bernier,70.0,170.0,D,1954.0,Canada
bernise01,Serge,Bernier,73.0,190.0,C,1947.0,Canada
bernist01,Steve,Bernier,74.0,235.0,R,1985.0,Canada
berrybo01,Bob,Berry,72.0,185.0,L,1943.0,Canada
berrybr01,Brad,Berry,74.0,190.0,D,1965.0,Canada
